Date,Indicator,Value,Year,Classification,Category,Region,Consumption (GWh)
2019-02,Southern region - Minimum - (GW),2.5,2019,Customers numbers,Commercial,Sum by category,611187
2019-03,Eastern region - Average (GW),11.4,2019,Customers numbers,Government,Central,31478
2019-03,Central region - Minimum - (GW),6.1,2019,Customers numbers,Industrial,Central,2091
2019-03,Southern region - Minimum - (GW),2.4,2019,Customers numbers,Industrial,Eastern,1829
2019-03,Southern region - Maximum - (GW),4.7,2019,Customers numbers,Others,Western,25384
2019-04,Eastern region - Minimum (GW),10.7,2019,Customers numbers,Others,Sum by category,118346
2019-04,Western region - Average - (GW),9.3,2019,Customers numbers,Residential,Sum by category,4093071
2019-06,Central region - Average - (GW),16.6,2019,Customers numbers,Commercial,Eastern,149100
2019-07,Eastern region - Maximum (GW),18,2019,Customers numbers,Commercial,Southern,36157
2019-07,Western region - Average - (GW),14,2019,Customers numbers,Commercial,Western,210697
2019-09,Eastern region - Maximum (GW),18.9,2019,Customers numbers,Government,Sum by category,102302
2019-09,Western region - Maximum - (GW),16.4,2019,Customers numbers,Industrial,Western,2164
2019-11,Southern region - Maximum - (GW),4.7,2019,Customers numbers,Others,Western,26627
2019-12,Western region - Maximum - (GW),9.8,2019,Customers numbers,Sum by regions,Central,1560735
2019-12,Central region - Maximum - (GW),10.7,2019,Customers numbers,Residential,Sum by category,4271938
2019-12,Southern region - Minimum - (GW),2.7,2019,Customers numbers,Commercial,Sum by category,681429
2012-07,Eastern region - Maximum (GW),16,2012,Customers numbers,Others,Central,61084
2012-07,Central region - Minimum - (GW),10.6,2012,Customers numbers,Others,Southern,15676
2012-07,Central region - Maximum - (GW),14.4,2012,Customers numbers,Sum by regions,Southern,662538
2012-07,Central region - Average - (GW),12.5,2012,Customers numbers,Sum by regions,Western,2019335
2012-07,Southern region - Minimum - (GW),2.7,2012,Customers numbers,Residential,Central,1319726
2012-08,Eastern region - Average (GW),13.1,2012,Customers numbers,Residential,Sum by category,4466528
2012-09,Eastern region - Average (GW),11.8,2012,Customers numbers,Government,Central,37715
2012-09,Western region - Average - (GW),11,2012,Customers numbers,Government,Southern,16996
2012-10,Eastern region - Maximum (GW),11.9,2012,Customers numbers,Industrial,Central,2374
2012-10,Western region - Maximum - (GW),12.7,2012,Customers numbers,Industrial,Southern,254
2012-10,Central region - Minimum - (GW),8.4,2012,Customers numbers,Others,Central,62767
2012-11,Western region - Maximum - (GW),10.8,2012,Customers numbers,Others,Sum by category,136516
2012-11,Southern region - Maximum - (GW),3.2,2012,Customers numbers,Sum by regions,Western,2097287
2012-12,Western region - Minimum - (GW),4.3,2012,Customers numbers,Residential,Southern,675206
2012-12,Central region - Average - (GW),8,2012,Customers numbers,Residential,Western,1867493
2013-01,Eastern region - Minimum (GW),7,2013,Customers numbers,Commercial,Central,305053
2013-02,Western region - Maximum - (GW),8.6,2013,Customers numbers,Commercial,Eastern,174167
2013-02,Central region - Minimum - (GW),4.6,2013,Customers numbers,Industrial,Sum by category,7386
2013-02,Central region - Maximum - (GW),8.3,2013,Customers numbers,Others,Sum by category,143324
2013-02,Southern region - Minimum - (GW),1.7,2013,Customers numbers,Residential,Sum by category,4902846
2013-03,Eastern region - Maximum (GW),10.4,2013,Customers numbers,Commercial,Central,326095
2013-03,Western region - Maximum - (GW),10.3,2013,Customers numbers,Commercial,Western,243884
2013-03,Southern region - Maximum - (GW),3.5,2013,Customers numbers,Others,Southern,19507
2013-04,Eastern region - Maximum (GW),11.9,2013,Customers numbers,Sum by regions,Sum by category,6012265
2013-04,Western region - Minimum - (GW),6.1,2013,Customers numbers,Residential,Western,1922978
2013-04,Western region - Average - (GW),8.7,2013,Customers numbers,Commercial,Western,380471
2013-04,Central region - Maximum - (GW),11.2,2013,Customers numbers,Government,Western,39231
2013-05,Eastern region - Maximum (GW),13.5,2013,Customers numbers,Industrial,Sum by category,7755
2013-05,Central region - Average - (GW),10.6,2013,Customers numbers,Sum by regions,Central,2009211
2013-05,Southern region - Minimum - (GW),2,2013,Customers numbers,Sum by regions,Eastern,1114563
2013-05,Southern region - Maximum - (GW),4.2,2013,Customers numbers,Government,Western,40285
2013-06,Eastern region - Maximum (GW),14.5,2013,Customers numbers,Others,Southern,22597
2013-06,Eastern region - Average (GW),12.7,2013,Customers numbers,Sum by regions,Central,2145096
2013-06,Western region - Maximum - (GW),13.6,2013,Customers numbers,Sum by regions,Eastern,1190022
2013-06,Western region - Average - (GW),11.6,2013,Customers numbers,Sum by regions,Western,2498602
2013-06,Southern region - Maximum - (GW),4.2,2013,Customers numbers,Commercial,Central,406247
2013-08,Eastern region - Minimum (GW),11.6,2013,Customers numbers,Commercial,Western,411735
2013-08,Central region - Maximum - (GW),16.1,2013,Customers numbers,Government,Eastern,21682
2013-08,Southern region - Minimum - (GW),2.5,2013,Customers numbers,Industrial,Central,3100
2013-08,Southern region - Average - (GW),3.5,2013,Customers numbers,Others,Western,40648
2013-10,Western region - Maximum - (GW),13.4,2013,Customers numbers,Sum by regions,Western,2614046
2013-11,Western region - Average - (GW),8.3,2013,Customers numbers,Residential,Eastern,1048882
2013-11,Central region - Average - (GW),6.9,2013,Customers numbers,Residential,Western,2177749
2013-11,Southern region - Minimum - (GW),2.1,2013,Customers numbers,Commercial,Central,475249
2014-01,Eastern region - Average (GW),9.5,2014,Customers numbers,Commercial,Southern,137379
2014-01,Southern region - Maximum - (GW),3.3,2014,Customers numbers,Government,Southern,29767
2014-01,Southern region - Average - (GW),2.6,2014,Customers numbers,Government,Western,44170
2014-02,Eastern region - Average (GW),9.8,2014,Customers numbers,Industrial,Eastern,2530
2014-02,Central region - Maximum - (GW),10,2014,Customers numbers,Others,Southern,25854
2014-02,Southern region - Minimum - (GW),2,2014,Customers numbers,Others,Western,45358
2014-03,Central region - Average - (GW),7.3,2014,Customers numbers,Sum by regions,Eastern,1356323
2014-04,Eastern region - Average (GW),11.9,2014,Customers numbers,Residential,Eastern,1134062
2014-04,Western region - Minimum - (GW),6.1,2014,Customers numbers,Commercial,Central,502283
2014-04,Southern region - Maximum - (GW),4.1,2014,Customers numbers,Commercial,Western,422030
2014-04,Southern region - Average - (GW),3.3,2014,Customers numbers,Government,Southern,31302
2014-06,Central region - Minimum - (GW),11.3,2014,Customers numbers,Others,Eastern,37511
2014-06,Central region - Maximum - (GW),17,2014,Customers numbers,Sum by regions,Eastern,1455418
2014-07,Eastern region - Average (GW),15.2,2014,Customers numbers,Sum by regions,Sum by category,8112539
2014-07,Central region - Minimum - (GW),10.7,2014,Customers numbers,Government,Eastern,25380
2014-07,Southern region - Minimum - (GW),3.3,2014,Customers numbers,Industrial,Central,3577
2014-08,Eastern region - Minimum (GW),13.4,2014,Customers numbers,Industrial,Eastern,2767
2014-08,Eastern region - Maximum (GW),17.2,2014,Customers numbers,Industrial,Western,3388
2014-09,Eastern region - Minimum (GW),12.7,2014,Customers numbers,Residential,Central,2199852
2014-09,Western region - Minimum - (GW),10.2,2014,Customers numbers,Residential,Southern,1062323
2014-10,Western region - Maximum - (GW),13.6,2014,Customers numbers,Residential,Sum by category,7103515
2014-10,Central region - Maximum - (GW),13.1,2014,Customers numbers,Commercial,Eastern,303182
2014-10,Southern region - Minimum - (GW),2.4,2014,Customers numbers,Commercial,Sum by category,1577157
2014-11,Western region - Minimum - (GW),5.3,2014,Customers numbers,Government,Western,48975
2014-11,Central region - Minimum - (GW),5.1,2014,Customers numbers,Industrial,Western,3677
2015-01,Eastern region - Maximum (GW),11.9,2015,Customers numbers,Others,Southern,30874
2015-01,Western region - Average - (GW),6.6,2015,Customers numbers,Sum by regions,Central,2918041
2015-01,Central region - Minimum - (GW),5.4,2015,Customers numbers,Residential,Eastern,1303214
2015-02,Eastern region - Minimum (GW),9.5,2015,Customers numbers,Residential,Southern,1124062
2015-02,Eastern region - Maximum (GW),12,2015,Customers numbers,Commercial,Eastern,309530
2015-02,Western region - Average - (GW),7.4,2015,Customers numbers,Government,Central,48737
2015-02,Central region - Maximum - (GW),9.6,2015,Customers numbers,Industrial,Eastern,2993
2015-02,Southern region - Average - (GW),2.9,2015,Customers numbers,Industrial,Southern,649
2015-03,Eastern region - Average (GW),10.9,2015,Customers numbers,Industrial,Sum by category,11470
2015-03,Central region - Minimum - (GW),5.3,2015,Customers numbers,Government,Western,44814
2015-03,Central region - Maximum - (GW),11.7,2015,Customers numbers,Industrial,Central,4140
2015-04,Eastern region - Minimum (GW),10.4,2015,Customers numbers,Industrial,Southern,696
2015-04,Western region - Maximum - (GW),12.5,2015,Customers numbers,Others,Sum by category,233616
2015-04,Central region - Average - (GW),10,2015,Customers numbers,Sum by regions,Central,3122954
2015-04,Southern region - Maximum - (GW),4.2,2015,Customers numbers,Sum by regions,Western,3463863
2015-05,Central region - Average - (GW),13.9,2015,Energy sales,Residential,Central,25110
2015-06,Eastern region - Maximum (GW),17.4,2015,Energy sales,Residential,Eastern,15229
2015-06,Eastern region - Average (GW),15.7,2015,Energy sales,Government,Western,4872
2015-06,Western region - Maximum - (GW),15.2,2015,Energy sales,Government,Sum by category,16831
2015-06,Western region - Average - (GW),12.6,2015,Energy sales,Industrial,Western,5648
2015-06,Southern region - Average - (GW),4.2,2015,Energy sales,Others,Central,4513
2015-07,Western region - Maximum - (GW),15.3,2015,Energy sales,Sum by regions,Southern,11010
